epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.7722,1.74039,1.25418,3.75997,1.83123,0.42989,0.53225,0.4211,0.20747,0.43453,0.53691,0.42875,0.2164,1.74291,0.66394,3.51031,1.75487,0.000552711,0.000552711,0.000552711
2,114.055,1.58494,0.60621,2.38984,1.6209,0.71488,0.57079,0.64413,0.37036,0.7104,0.56841,0.63994,0.37458,1.53257,0.62079,2.04553,1.66166,0.00107703,0.00107703,0.00107703
3,154.815,1.52053,0.57965,1.77212,1.58652,0.60449,0.59037,0.63504,0.34327,0.60486,0.59309,0.636,0.34838,1.57869,0.57036,1.57177,1.63996,0.00156991,0.00156991,0.00156991
4,194.308,1.43962,0.56726,1.52277,1.52214,0.65091,0.46361,0.57182,0.32129,0.64447,0.45894,0.56606,0.31813,1.58519,0.60566,1.90074,1.75448,0.00152554,0.00152554,0.00152554
5,233.117,1.40661,0.55128,1.28209,1.50048,0.56174,0.61367,0.64416,0.35787,0.55875,0.61634,0.64091,0.3571,1.55384,0.56269,1.65184,1.63764,0.00147839,0.00147839,0.00147839
6,274.304,1.32103,0.51512,1.11942,1.4344,0.72389,0.60807,0.671,0.37489,0.72332,0.60851,0.66812,0.37503,1.65255,0.62658,1.43106,1.70824,0.00143124,0.00143124,0.00143124
7,323.905,1.25217,0.4997,0.92925,1.37393,0.72864,0.68439,0.72196,0.37992,0.73127,0.68414,0.72498,0.39438,1.67139,0.58134,1.37931,1.70886,0.00138409,0.00138409,0.00138409
8,371.252,1.17416,0.48571,0.8251,1.31533,0.74024,0.72852,0.76802,0.43018,0.74243,0.7308,0.76984,0.42327,1.5694,0.59319,1.20591,1.62837,0.00133693,0.00133693,0.00133693
9,412.298,1.09237,0.46756,0.74536,1.26163,0.71991,0.74179,0.75194,0.42091,0.72355,0.7391,0.75393,0.42258,1.59548,0.59199,1.22344,1.69507,0.00128978,0.00128978,0.00128978
10,453.791,1.03487,0.44685,0.66554,1.22224,0.74084,0.70007,0.72987,0.40561,0.74503,0.70254,0.73477,0.41283,1.56701,0.62413,1.24563,1.65941,0.00124263,0.00124263,0.00124263
11,495.517,0.96348,0.42863,0.6233,1.17734,0.75312,0.6338,0.69433,0.37141,0.76713,0.63715,0.69769,0.37684,1.62022,0.64134,1.36048,1.74327,0.00119548,0.00119548,0.00119548
12,535.337,0.87853,0.39918,0.55616,1.11593,0.74385,0.69768,0.72724,0.41616,0.74686,0.70016,0.72616,0.41248,1.63001,0.66286,1.20366,1.79327,0.00114832,0.00114832,0.00114832
13,580.535,0.82669,0.36162,0.52692,1.08984,0.75935,0.71931,0.77835,0.42133,0.75935,0.71931,0.77803,0.41274,1.63201,0.75381,1.16268,1.77742,0.00110117,0.00110117,0.00110117
14,625.128,0.77479,0.33776,0.48376,1.05283,0.78371,0.68933,0.74431,0.39726,0.77827,0.68467,0.73936,0.3997,1.67031,0.76202,1.21663,1.81835,0.00105402,0.00105402,0.00105402
15,669.695,0.72323,0.30353,0.45294,1.02132,0.79108,0.70952,0.75353,0.4156,0.78783,0.7103,0.74994,0.41054,1.6324,0.79836,1.17015,1.80011,0.00100687,0.00100687,0.00100687
16,709.738,0.66824,0.27287,0.43504,0.98898,0.80763,0.72537,0.78463,0.42968,0.81242,0.73095,0.78631,0.43393,1.67472,0.85074,1.10087,1.9023,0.000959716,0.000959716,0.000959716
17,750.413,0.61461,0.26072,0.39824,0.95837,0.77373,0.70644,0.76434,0.42466,0.77645,0.70882,0.76693,0.42678,1.68659,0.85018,1.1039,1.91261,0.000912563,0.000912563,0.000912563
18,789.732,0.56741,0.23274,0.37401,0.93321,0.76072,0.72208,0.76504,0.42003,0.75265,0.71722,0.7645,0.41742,1.67418,1.05185,1.14305,1.93967,0.000865411,0.000865411,0.000865411
19,829.009,0.53455,0.19053,0.36294,0.91926,0.7956,0.68995,0.75928,0.41985,0.80147,0.69461,0.76332,0.42893,1.67623,1.06888,1.22061,1.9417,0.000818259,0.000818259,0.000818259
20,868.652,0.48369,0.15742,0.33314,0.88888,0.75994,0.74025,0.75571,0.4242,0.76086,0.74035,0.75272,0.42768,1.66899,1.18128,1.14717,1.97118,0.000771107,0.000771107,0.000771107
21,907.454,0.44699,0.1454,0.31285,0.87419,0.77982,0.72905,0.75394,0.43573,0.783,0.73143,0.75474,0.4405,1.62172,1.12789,1.1979,1.91975,0.000723954,0.000723954,0.000723954
22,951.263,0.42013,0.12923,0.30901,0.8629,0.77378,0.6558,0.72986,0.42242,0.77561,0.6577,0.72912,0.41809,1.62562,1.20794,1.2341,1.91618,0.000676802,0.000676802,0.000676802
23,991.529,0.38009,0.1017,0.28643,0.84801,0.75055,0.70707,0.74121,0.42769,0.75055,0.70707,0.7362,0.42214,1.60901,1.3936,1.17277,1.93709,0.00062965,0.00062965,0.00062965
24,1031.28,0.35771,0.091,0.27565,0.83726,0.8379,0.63865,0.75158,0.437,0.84355,0.64377,0.75568,0.44792,1.63664,1.34806,1.24837,1.92672,0.000582497,0.000582497,0.000582497
25,1072.91,0.33881,0.07894,0.26374,0.82871,0.77684,0.70274,0.7609,0.43466,0.74809,0.74362,0.76799,0.43954,1.6427,1.47923,1.12989,1.9695,0.000535345,0.000535345,0.000535345
26,1125.14,0.308,0.07053,0.24976,0.82056,0.74869,0.721,0.751,0.43288,0.74415,0.71862,0.7467,0.4264,1.62448,1.51837,1.18027,1.94076,0.000488193,0.000488193,0.000488193
27,1176.94,0.28397,0.05208,0.23435,0.81124,0.76416,0.70492,0.74998,0.43262,0.76109,0.70254,0.74659,0.43662,1.63099,1.73816,1.19588,1.98204,0.000441041,0.000441041,0.000441041
28,1220.7,0.263,0.04805,0.22454,0.8056,0.74882,0.74944,0.75163,0.432,0.74834,0.74934,0.75462,0.43353,1.62484,1.66951,1.16125,1.98478,0.000393888,0.000393888,0.000393888
29,1262.75,0.23885,0.0389,0.21074,0.79935,0.78394,0.71302,0.76106,0.44148,0.78937,0.71752,0.76923,0.44043,1.63006,1.81341,1.16369,1.99872,0.000346736,0.000346736,0.000346736
30,1303.87,0.21868,0.03341,0.19783,0.79421,0.72831,0.73923,0.74962,0.42958,0.73098,0.74161,0.75057,0.43298,1.64144,1.77793,1.20487,2.04119,0.000299584,0.000299584,0.000299584
31,1345.7,0.1998,0.02341,0.18632,0.78951,0.73229,0.73787,0.74951,0.42798,0.73641,0.74243,0.7523,0.43077,1.63459,1.9185,1.20699,2.03704,0.000252431,0.000252431,0.000252431
32,1387.13,0.18244,0.02941,0.1765,0.78633,0.79258,0.72071,0.75967,0.44002,0.80405,0.70804,0.75683,0.44502,1.63889,1.88855,1.21922,2.02459,0.000205279,0.000205279,0.000205279
33,1428.86,0.16437,0.02168,0.16718,0.78369,0.79279,0.7126,0.76638,0.444,0.81072,0.6953,0.7621,0.45166,1.63587,1.89882,1.24954,2.04885,0.000158127,0.000158127,0.000158127
34,1469.27,0.14884,0.01639,0.15515,0.78063,0.79103,0.70989,0.75861,0.43833,0.79103,0.70989,0.76176,0.44302,1.63873,1.96359,1.23128,2.06494,0.000110975,0.000110975,0.000110975
35,1509.86,0.13501,0.01496,0.14665,0.77837,0.80487,0.70473,0.75564,0.43275,0.76102,0.72735,0.75519,0.43832,1.62837,1.98661,1.24598,2.04439,6.38223e-05,6.38223e-05,6.38223e-05
